행정구역(읍면동),종사자수,사업체수,급여총액,매출액,영업이익,종사자당 사업체수,종사자당 급여총액,종사자당 매출액,종사자당 영업이익
대전면,4584.0,1130.0,138685.0,1562765.0,106327.0,0.24650959860383945,30.25414485165794,340.91732111692846,23.195244328097733
덕연동,37134.0,11346.0,1055442.0,7172625.0,412614.0,0.3055420908062692,28.422523832606238,193.15519470027468,11.11148812409113
덕진면,1845.0,398.0,48258.0,301513.0,19470.0,0.2157181571815718,26.15609756097561,163.42168021680217,10.552845528455284
도곡면,3928.0,1098.0,108772.0,642222.0,66685.0,0.27953156822810593,27.691446028513237,163.49847250509166,16.97683299389002
도덕면,1425.0,602.0,23431.0,192308.0,40192.0,0.4224561403508772,16.44280701754386,134.95298245614035,28.204912280701755
도사동,14024.0,3218.0,330778.0,1675702.0,77850.0,0.22946377638334284,23.58656588705077,119.48816314888762,5.551197946377639
도암면,2261.0,1078.0,34572.0,220667.0,31876.0,0.47678018575851394,15.290579389650597,97.59708093763821,14.098186643078284
도양읍,8422.0,3036.0,167790.0,1057714.0,107106.0,0.3604844454998813,19.922821182616957,125.58940869152221,12.71740679173593
도초면,1627.0,640.0,28728.0,185930.0,26856.0,0.3933620159803319,17.657037492317148,114.2778119237861,16.506453595574676
도포면,726.0,360.0,12974.0,131376.0,11867.0,0.49586776859504134,17.87052341597796,180.95867768595042,16.34573002754821
도화면,2084.0,932.0,32018.0,303290.0,33061.0,0.4472168905950096,15.363723608445298,145.53262955854126,15.864203454894433
돌산읍,9817.0,3422.0,189851.0,1189669.0,131973.0,0.3485789956198431,19.33900376897219,121.18457777325048,13.443312620963635
동강면,3030.0,1028.0,68739.0,587077.0,25872.0,0.33927392739273926,22.686138613861385,193.75478547854786,8.538613861386139
동면,4816.0,916.0,158065.0,809640.0,44963.0,0.19019933554817275,32.82080564784053,168.11461794019934,9.336171096345515
동명동,4487.0,2312.0,54229.0,538589.0,46340.0,0.5152663249387118,12.085803432137286,120.03320704256741,10.32761310452418
동문동,3387.0,1064.0,108273.0,441202.0,30700.0,0.31414230882787125,31.96722763507529,130.2633599055211,9.064068497195159
동복면,703.0,328.0,18248.0,82867.0,5881.0,0.4665718349928876,25.95732574679943,117.87624466571835,8.365576102418208
동일면,890.0,216.0,13830.0,51784.0,4205.0,0.24269662921348314,15.539325842696629,58.184269662921345,4.724719101123595
동화면,6242.0,1130.0,221067.0,2802518.0,193469.0,0.18103172060237102,35.41605254726049,448.9775712912528,30.99471323293816
두원면,1654.0,548.0,41381.0,242957.0,5004.0,0.3313180169286578,25.018742442563482,146.8905683192261,3.0253929866989115
